Country,City,Charging_Station_ID,Charging_Station_Type,EV_Model,Manufacturer,Battery_Capacity_kWh,Charging_Start_Time,Charging_End_Time,Charging_Duration_mins,Energy_Delivered_kWh,Charging_Cost_$,Payment_Method,Temperature,Charging_Session_Outcome,Station_Utilization_Rate
Australia,Sydney,CS-3387,Level 2,Tesla Model 3,Tesla,60,9-Mar-25,9-Mar-25,149,28.93,10.88,Subscription,14.8,Completed,67.1
France,Lyon,CS-1320,Level 1,Hyundai Kona Electric,Hyundai,64,9-Feb-25,9-Feb-25,141,27.54,6.32,Subscription,3.6,Aborted,68.1
France,Lyon,CS-8028,Level 2,BMW i3,BMW,42,17-Mar-25,17-Mar-25,119,34.32,3.73,Card,19.7,Completed,39.6
Norway,Oslo,CS-8257,DC Fast,Tesla Model 3,Tesla,60,25-Jan-25,25-Jan-25,135,12.33,2.43,App,22.5,Failed,40.7
Canada,Montreal,CS-1898,Level 1,BYD Han,BYD,76,6-Mar-25,6-Mar-25,80,10.19,2.72,App,32.2,Aborted,82.7
Australia,Brisbane,CS-8597,Level 2,BYD Han,BYD,76,11-Mar-25,11-Mar-25,26,5.38,1.35,App,34.1,Failed,39.7
Japan,Tokyo,CS-5036,Level 2,BYD Han,BYD,76,10-Feb-25,10-Feb-25,60,23.48,5.9,App,0.3,Aborted,66.8
Canada,Toronto,CS-8483,Level 2,Hyundai Kona Electric,Hyundai,64,4-Feb-25,4-Feb-25,44,23.48,9.24,App,24.9,Aborted,32.6
China,Shenzhen,CS-9881,Level 2,Hyundai Kona Electric,Hyundai,64,7-Apr-25,7-Apr-25,147,23.47,8.63,Subscription,34.8,Completed,54.5
Norway,Oslo,CS-3831,Level 2,Chevy Bolt,Chevrolet,66,1-Mar-25,2-Mar-25,53,8.33,1.29,App,1.5,Aborted,44.9
Norway,Oslo,CS-4586,Level 2,Kia EV6,Kia,77,6-Feb-25,6-Feb-25,106,76.19,20.44,App,-0.5,Failed,79.4
Germany,Munich,CS-6049,Level 1,Nissan Leaf,Nissan,40,23-Jan-25,23-Jan-25,67,35.39,5.46,Subscription,15.3,Aborted,55.1
Australia,Sydney,CS-6785,Level 2,BYD Han,BYD,76,19-Mar-25,19-Mar-25,16,42.35,11.49,Card,4.8,Aborted,64.2
India,Mumbai,CS-8130,Level 1,Hyundai Kona Electric,Hyundai,64,20-Mar-25,20-Mar-25,46,28.26,7.83,App,1.2,Completed,46.8
Norway,Bergen,CS-3897,Level 1,Hyundai Kona Electric,Hyundai,64,15-Jan-25,16-Jan-25,167,43.82,8.71,Subscription,19.9,Aborted,36
Australia,Sydney,CS-2150,Level 1,Chevy Bolt,Chevrolet,66,21-Feb-25,21-Feb-25,27,53.9,9.97,Subscription,-2.2,Failed,40.5
Canada,Vancouver,CS-8813,Level 1,BMW i3,BMW,42,2-Feb-25,2-Feb-25,76,40.71,14.64,Card,29.1,Completed,41.1
Canada,Vancouver,CS-1147,DC Fast,BMW i3,BMW,42,18-Jan-25,18-Jan-25,45,16.05,5.46,App,31.1,Failed,20.5
Germany,Munich,CS-4097,Level 2,Renault Zoe,Renault,52,4-Mar-25,5-Mar-25,66,28.01,10.24,App,17.5,Aborted,17.2
Canada,Vancouver,CS-4677,Level 1,BYD Han,BYD,76,12-Jan-25,13-Jan-25,62,35.82,8.16,Subscription,8.7,Aborted,64.1
UK,Manchester,CS-5091,Level 2,Renault Zoe,Renault,52,4-Apr-25,4-Apr-25,176,35.42,4.43,App,-1.8,Aborted,34
UK,Birmingham,CS-3802,Level 1,Hyundai Kona Electric,Hyundai,64,15-Mar-25,15-Mar-25,78,35.86,6.76,Subscription,-1.9,Completed,51.1
Japan,Osaka,CS-9185,Level 2,Porsche Taycan,Porsche,93,18-Feb-25,18-Feb-25,39,45.89,14.51,App,5.2,Completed,71.5
USA,New York,CS-7079,Level 1,Kia EV6,Kia,77,7-Feb-25,7-Feb-25,60,61.6,21.74,Card,11.7,Failed,33.8
Australia,Brisbane,CS-8119,Level 1,Kia EV6,Kia,77,17-Feb-25,17-Feb-25,130,49.91,8.96,Card,2.4,Failed,88.6
China,Shenzhen,CS-3575,Level 1,Nissan Leaf,Nissan,40,29-Mar-25,29-Mar-25,126,23.7,2.41,Card,1.9,Aborted,46.8
Canada,Montreal,CS-8399,DC Fast,BYD Han,BYD,76,28-Jan-25,28-Jan-25,139,26.5,9.11,App,22.6,Failed,64
China,Beijing,CS-9159,Level 1,BMW i3,BMW,42,26-Mar-25,27-Mar-25,49,5.51,0.74,Subscription,33.8,Completed,26.7
UK,Birmingham,CS-3749,DC Fast,Chevy Bolt,Chevrolet,66,31-Mar-25,31-Mar-25,126,56.37,20.15,Card,-1.6,Aborted,21.9
Canada,Toronto,CS-7664,Level 2,Nissan Leaf,Nissan,40,13-Mar-25,13-Mar-25,57,36.58,11.77,App,13.9,Aborted,56.8
France,Lyon,CS-1632,DC Fast,BYD Han,BYD,76,6-Feb-25,6-Feb-25,115,8.62,0.88,Subscription,12.3,Aborted,77.9
Australia,Brisbane,CS-2243,DC Fast,Renault Zoe,Renault,52,7-Feb-25,7-Feb-25,89,6.74,1.48,Subscription,24,Failed,82.4
Norway,Oslo,CS-3086,DC Fast,Tesla Model 3,Tesla,60,30-Jan-25,31-Jan-25,150,6.05,1.65,Card,5.7,Failed,43.4
Norway,Oslo,CS-6030,DC Fast,Kia EV6,Kia,77,17-Mar-25,17-Mar-25,174,72.61,14.81,App,-4.2,Aborted,68.1
Norway,Bergen,CS-4837,DC Fast,Kia EV6,Kia,77,10-Jan-25,11-Jan-25,74,41.55,11.48,App,31.9,Failed,62.6
UK,Manchester,CS-1014,DC Fast,Porsche Taycan,Porsche,93,11-Feb-25,11-Feb-25,121,78.31,23.64,App,26.8,Completed,59.7
China,Shenzhen,CS-8432,DC Fast,Nissan Leaf,Nissan,40,1-Mar-25,1-Mar-25,138,9.52,1.52,App,-1,Aborted,85.4
Norway,Bergen,CS-9512,Level 2,Chevy Bolt,Chevrolet,66,14-Jan-25,14-Jan-25,68,38.97,15.58,App,9.3,Completed,24
Japan,Tokyo,CS-7916,Level 1,Nissan Leaf,Nissan,40,16-Jan-25,16-Jan-25,101,20.07,5.73,Subscription,4,Aborted,89.5
India,Mumbai,CS-7106,DC Fast,Renault Zoe,Renault,52,3-Apr-25,3-Apr-25,83,47.13,16.78,Subscription,21.8,Failed,14
Norway,Bergen,CS-7382,Level 1,Nissan Leaf,Nissan,40,21-Mar-25,21-Mar-25,42,32.36,9.15,Subscription,-3.3,Completed,23.4
Germany,Berlin,CS-9193,DC Fast,Audi e-tron,Audi,95,6-Mar-25,6-Mar-25,55,70.55,22.04,App,24.3,Completed,22.3
India,Delhi,CS-5962,Level 2,BMW i3,BMW,42,13-Feb-25,13-Feb-25,46,36.4,8.44,Card,4.8,Aborted,37.3
Japan,Tokyo,CS-1694,Level 2,Nissan Leaf,Nissan,40,6-Mar-25,6-Mar-25,83,18.04,5.89,Subscription,21.6,Completed,70.3
Japan,Osaka,CS-9635,Level 2,Chevy Bolt,Chevrolet,66,30-Mar-25,30-Mar-25,50,53.91,12.08,App,33.1,Failed,73.6
India,Mumbai,CS-9630,DC Fast,Kia EV6,Kia,77,23-Jan-25,23-Jan-25,52,60.45,19.06,Card,-1.6,Aborted,42.1
UK,Manchester,CS-6722,DC Fast,Tesla Model 3,Tesla,60,20-Feb-25,20-Feb-25,115,46.76,13.94,Card,31.1,Completed,88.2
Japan,Osaka,CS-7737,Level 2,Porsche Taycan,Porsche,93,27-Feb-25,27-Feb-25,117,82.95,25.73,Subscription,24.7,Aborted,10.6
China,Shenzhen,CS-1263,Level 1,BYD Han,BYD,76,10-Feb-25,10-Feb-25,52,54.72,12.8,Subscription,20,Failed,62.2
India,Bangalore,CS-8664,DC Fast,Porsche Taycan,Porsche,93,20-Jan-25,20-Jan-25,65,82.53,10.34,App,10.6,Failed,69.2
UK,Birmingham,CS-2306,Level 2,Renault Zoe,Renault,52,3-Mar-25,3-Mar-25,87,15.05,3.82,Subscription,8.6,Failed,22.8
USA,San Francisco,CS-7343,DC Fast,BYD Han,BYD,76,10-Mar-25,10-Mar-25,81,22.14,7.36,App,34.5,Completed,68.6
India,Delhi,CS-2852,Level 1,Renault Zoe,Renault,52,17-Mar-25,18-Mar-25,105,10.82,3.54,App,6.9,Failed,10.4
India,Mumbai,CS-4200,DC Fast,BYD Han,BYD,76,3-Apr-25,4-Apr-25,159,55.74,21.25,Subscription,28.8,Completed,38
China,Shenzhen,CS-7181,Level 1,BYD Han,BYD,76,24-Feb-25,24-Feb-25,50,55.72,14.26,Card,8.1,Failed,25.4
India,Delhi,CS-7909,Level 1,Nissan Leaf,Nissan,40,7-Apr-25,7-Apr-25,52,29.91,10.42,Card,-2.5,Completed,48.1
Norway,Oslo,CS-2676,Level 2,Audi e-tron,Audi,95,28-Jan-25,28-Jan-25,149,41.25,11.04,App,18.4,Failed,43.9
Norway,Trondheim,CS-8552,Level 1,Kia EV6,Kia,77,5-Feb-25,5-Feb-25,121,64.31,9.22,App,23.4,Completed,87.4
Japan,Yokohama,CS-5008,Level 1,Nissan Leaf,Nissan,40,14-Mar-25,14-Mar-25,69,20.94,2.3,Subscription,9.8,Completed,58.1
Canada,Toronto,CS-8484,Level 1,Nissan Leaf,Nissan,40,4-Feb-25,4-Feb-25,109,25.01,2.8,Card,9.9,Aborted,34.3
Norway,Oslo,CS-8449,Level 2,BMW i3,BMW,42,17-Jan-25,17-Jan-25,51,34,7.7,App,3.6,Failed,49.1
Germany,Hamburg,CS-7214,DC Fast,Audi e-tron,Audi,95,7-Mar-25,7-Mar-25,32,83.34,18.77,App,17.6,Aborted,72.5
Norway,Trondheim,CS-2112,Level 2,BYD Han,BYD,76,9-Jan-25,9-Jan-25,48,59.1,14.86,App,21.7,Completed,79.3
India,Mumbai,CS-9125,Level 2,BYD Han,BYD,76,17-Jan-25,17-Jan-25,174,34.08,5.79,App,16.6,Failed,81.2
China,Shenzhen,CS-4236,DC Fast,Nissan Leaf,Nissan,40,24-Mar-25,24-Mar-25,57,29.75,8.08,App,17.4,Completed,61.5
Germany,Berlin,CS-3933,DC Fast,BYD Han,BYD,76,5-Apr-25,5-Apr-25,153,45.96,5.33,Subscription,2.6,Aborted,50.2
USA,New York,CS-6011,Level 1,Renault Zoe,Renault,52,28-Jan-25,28-Jan-25,61,50.23,9.17,Card,28.2,Failed,45.5
Japan,Yokohama,CS-3454,Level 1,Audi e-tron,Audi,95,16-Mar-25,16-Mar-25,117,58,14.35,App,12.5,Aborted,11.9
Japan,Osaka,CS-6379,DC Fast,Porsche Taycan,Porsche,93,15-Feb-25,15-Feb-25,80,13.01,5.13,Card,6.4,Completed,30.4
Germany,Berlin,CS-1386,Level 2,Hyundai Kona Electric,Hyundai,64,12-Mar-25,12-Mar-25,119,45.04,5.3,Card,-3.9,Completed,33.8
Germany,Munich,CS-5639,Level 1,BMW i3,BMW,42,16-Mar-25,16-Mar-25,120,38.04,6.75,Card,3.1,Failed,56.9
Norway,Trondheim,CS-2107,Level 2,Renault Zoe,Renault,52,26-Jan-25,26-Jan-25,113,49.62,8.97,App,17.1,Completed,48.7
Canada,Montreal,CS-5292,DC Fast,Chevy Bolt,Chevrolet,66,10-Jan-25,10-Jan-25,19,21.42,8.33,Card,4.9,Failed,62.1
UK,Manchester,CS-9020,DC Fast,BYD Han,BYD,76,19-Mar-25,19-Mar-25,119,36.66,12.97,Card,26.3,Completed,39.9
UK,London,CS-6813,Level 1,Renault Zoe,Renault,52,29-Jan-25,29-Jan-25,123,50.18,13.38,Card,27.5,Failed,33.1
UK,London,CS-7393,DC Fast,Tesla Model 3,Tesla,60,25-Feb-25,25-Feb-25,138,20.03,3.51,App,35,Failed,27
Japan,Osaka,CS-7452,Level 2,Tesla Model 3,Tesla,60,19-Jan-25,20-Jan-25,56,45.66,12.28,Card,10.8,Completed,76.4
Japan,Osaka,CS-6335,Level 2,Porsche Taycan,Porsche,93,3-Apr-25,3-Apr-25,68,58.72,22.74,Subscription,32.8,Failed,30.9
